# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
93,3812.000,62.543,4300.013,66.590,4545.197,68.297,5226.500,73.321,4686.868,69.330,5689.829,76.413,4834.658,70.475,5064.408,72.144
94,6055.447,79.159,4873.053,70.790,4872.697,70.772,4908.382,71.036,6023.500,78.990,5421.474,74.621,5291.474,73.745,5064.408,72.144
95,5504.724,75.343,5779.803,76.982,5412.974,74.676,5064.408,72.144,5261.908,73.613,4392.947,67.235,5017.382,71.799,5064.408,72.144
96,5208.789,73.171,5324.105,73.942,5009.053,71.744,5118.434,72.535,5174.158,72.957,4953.053,71.353,4962.026,71.397,5062.408,72.130
97,4866.368,70.965,4723.710,69.721,4784.000,70.121,4358.553,66.933,6312.474,80.988,5701.500,76.492,4741.960,69.792,5066.408,72.158
98,3765.842,62.047,5473.447,74.951,5015.053,71.786,4067.474,64.662,4336.684,66.619,5042.066,71.983,5064.408,72.144,5065.408,72.151
99,5570.368,75.543,4801.382,70.279,5117.750,72.519,4768.684,70.024,4843.618,70.510,6283.540,80.231,5258.132,73.513,5064.408,72.144
100,3553.816,60.292,4801.382,70.279,5234.513,73.385,4732.000,69.749,3984.224,63.820,4856.040,70.660,4987.368,71.580,5064.408,72.144
101,5482.447,75.011,4667.039,69.310,4594.237,68.684,5301.197,73.850,4991.724,71.626,6115.197,79.169,5228.447,73.299,5064.408,72.144
102,5174.329,72.848,5196.763,73.070,5030.724,71.898,5255.513,73.528,4640.171,68.970,5037.724,71.947,5403.171,74.519,5064.408,72.144
103,3480.671,59.840,4186.671,65.727,4633.921,68.985,4951.724,71.346,4675.526,69.242,5168.092,72.871,5068.750,72.180,5064.408,72.144
104,7864.658,90.348,5526.447,75.304,5270.526,73.639,5170.789,72.910,6174.684,80.056,5573.816,75.641,4948.026,71.299,5066.408,72.158
105,4570.513,68.470,5377.776,74.307,5141.434,72.694,5087.763,72.321,4705.868,69.467,4434.289,67.549,5154.105,72.784,5064.408,72.144
106,6044.618,78.778,5324.105,73.942,4865.697,70.722,5064.408,72.144,5261.908,73.613,5902.855,77.811,4915.684,71.066,5064.408,72.144
