# CaFe Be9 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield_total_yield_err
348,162430.804,403.126,60.197,4.450,162491.000,403.102
349,161039.147,401.398,60.855,4.474,161100.000,401.373
350,130865.331,361.844,49.671,4.042,130915.000,361.822
351,147924.409,384.705,55.592,4.276,147980.000,384.682
352,161134.118,401.513,58.882,4.401,161193.000,401.488
353,121716.584,348.962,43.421,3.779,121760.000,348.941
354,164875.158,406.149,61.842,4.510,164937.000,406.124
355,147320.384,383.916,53.618,4.200,147374.000,383.893
356,154099.421,392.651,56.579,4.314,154156.000,392.627
357,147366.685,383.972,51.316,4.109,147418.000,383.951
358,155322.436,394.207,57.566,4.352,155380.000,394.183
359,141625.697,376.424,52.303,4.148,141678.000,376.401
360,136054.367,368.950,52.632,4.161,136107.000,368.927
361,155094.066,393.913,54.934,4.251,155149.000,393.890
362,128974.977,359.220,48.026,3.975,129023.000,359.198
363,131739.962,363.046,47.039,3.934,131787.000,363.025
364,127184.620,356.716,46.382,3.906,127231.000,356.695
365,142364.024,377.403,51.974,4.135,142416.000,377.380
366,160681.854,400.958,64.145,4.593,160746.000,400.931
367,125651.592,354.557,44.408,3.822,125696.000,354.536
368,114791.869,338.888,40.132,3.633,114832.000,338.869
369,138139.412,371.770,55.592,4.276,138195.000,371.746
370,130151.263,360.847,44.737,3.836,130196.000,360.827
371,119194.897,345.327,42.105,3.722,119237.000,345.307
372,121455.897,348.585,42.105,3.722,121498.000,348.566
373,122846.604,350.581,45.395,3.864,122892.000,350.560
374,137401.003,370.766,50.000,4.056,137451.000,370.744
375,157021.196,396.368,64.803,4.617,157086.000,396.341
376,118890.540,344.883,40.461,3.648,118931.000,344.864
377,123678.249,351.762,43.750,3.794,123722.000,351.741
378,106581.172,326.545,37.829,3.528,106619.000,326.526
379,124063.895,352.306,42.105,3.722,124106.000,352.287
380,94253.765,307.078,32.237,3.256,94286.000,307.060
381,97677.790,312.607,34.211,3.355,97712.000,312.589
382,91712.408,302.908,30.592,3.172,91743.000,302.891
383,91030.751,301.782,31.250,3.206,91062.000,301.765
384,80928.027,284.542,26.974,2.979,80955.000,284.526
385,63177.276,251.406,20.724,2.611,63198.000,251.392
386,63692.290,252.430,21.711,2.672,63714.000,252.416
387,64602.276,254.224,20.724,2.611,64623.000,254.211
388,55440.894,235.507,17.105,2.372,55458.000,235.495
389,85948.789,293.248,34.211,3.355,85983.000,293.229
390,69037.328,262.812,24.671,2.849,69062.000,262.796
391,44839.856,211.799,14.145,2.157,44854.000,211.788
392,55373.907,235.368,18.092,2.440,55392.000,235.355
393,52740.869,229.698,15.132,2.231,52756.000,229.687
394,54479.236,233.458,17.763,2.417,54497.000,233.446
395,70127.671,264.880,25.329,2.887,70153.000,264.864
396,62972.289,251.000,21.711,2.672,62994.000,250.986
397,63015.605,251.083,20.395,2.590,63036.000,251.070
398,53699.881,231.779,16.118,2.303,53716.000,231.767
399,52943.224,230.142,16.776,2.349,52960.000,230.130
400,58270.566,241.441,17.434,2.395,58288.000,241.429
401,76911.407,277.402,30.592,3.172,76942.000,277.384
402,47593.856,218.203,14.145,2.157,47608.000,218.193
403,57167.235,239.146,17.763,2.417,57185.000,239.134
404,59911.935,244.824,20.066,2.569,59932.000,244.810
405,71197.657,266.890,24.342,2.830,71222.000,266.875
406,74874.041,273.699,27.961,3.033,74902.000,273.682
407,59294.250,243.555,18.750,2.483,59313.000,243.543
408,75526.053,274.890,28.947,3.086,75555.000,274.873
409,77901.751,279.183,31.250,3.206,77933.000,279.165
410,61918.934,248.889,20.066,2.569,61939.000,248.875
411,52457.540,229.081,15.461,2.255,52473.000,229.070
412,50533.211,224.843,15.789,2.279,50549.000,224.831
413,43103.170,207.654,12.829,2.054,43116.000,207.644
414,58400.923,241.715,19.079,2.505,58420.000,241.702
415,43654.513,208.980,13.487,2.106,43668.000,208.969
416,64446.631,253.922,22.368,2.713,64469.000,253.907
417,59480.921,243.939,19.079,2.505,59500.000,243.926
418,69216.027,263.158,26.974,2.979,69243.000,263.141
419,56405.591,237.553,19.408,2.527,56425.000,237.539
420,66518.318,257.972,23.684,2.791,66542.000,257.957
421,77995.066,279.347,29.934,3.138,78025.000,279.330
422,63064.619,251.183,21.382,2.652,63086.000,251.169
423,62195.933,249.445,20.066,2.569,62216.000,249.431
424,62101.619,249.259,21.382,2.652,62123.000,249.245
425,63528.618,252.105,21.382,2.652,63550.000,252.091
426,78555.751,280.352,31.250,3.206,78587.000,280.334
427,60890.922,246.812,19.079,2.505,60910.000,246.800
428,56382.907,237.501,18.092,2.440,56401.000,237.489
429,60016.922,245.035,19.079,2.505,60036.000,245.022
430,58845.593,242.634,19.408,2.527,58865.000,242.621
431,68407.657,261.610,24.342,2.830,68432.000,261.595
